Section,SECT_03
Total Length (m),478.7058307064286

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,20.1m,,310,25881,,
Bend,0.2deg,3.9,311,25008,80,6412
Straight,7.3m,,553,24960,,
Bend,9.3deg,3.9,615,24640,158,6318
Straight,15.2m,,1109,22170,,
Bend,0.3deg,3.9,1112,21512,285,5516
Straight,11.4m,,1553,21444,,
Bend,4.3deg,3.9,2102,20461,539,5246
Straight,11.2m,,2002,20948,,
Bend,1.5deg,3.9,2935,18623,753,4775
Straight,20.1m,,2884,19491,,
Bend,1.4deg,3.9,4076,17169,1045,4402
Straight,7.8m,,3266,18298,,
Bend,1.9deg,3.9,4553,16518,1167,4235
Straight,18.3m,,4013,17958,,
Bend,8.9deg,3.9,5360,15875,1374,4071
Straight,9.0m,,4457,16907,,
Bend,0.3deg,3.9,8638,10746,2215,2755
Straight,6.8m,,4845,16172,,
Bend,0.9deg,3.9,9534,9911,2445,2541
Straight,91.3m,,8610,14350,,
Bend,1.6deg,3.9,11230,8330,2879,2136
Straight,18.7m,,9436,10712,,
Bend,0.5deg,3.9,12807,6707,3284,1720
Straight,35.6m,,11023,9809,,
Bend,0.6deg,3.9,13213,6350,3388,1628
Straight,35.8m,,12738,8176,,
Bend,0.2deg,3.9,14810,4841,3798,1241
Straight,7.4m,,13131,6671,,
Bend,3.7deg,3.9,16573,3804,4250,975
Straight,36.8m,,14772,6310,,
Bend,7.5deg,3.9,19136,2734,4907,701
Straight,25.4m,,15899,4828,,
Bend,0.3deg,3.9,20214,1650,5183,423
Straight,23.2m,,17571,3649,,
Bend,1.5deg,3.9,21779,828,5584,212
Straight,23.4m,,20144,2510,,
Bend,2.3deg,3.9,22819,460,5851,118
Straight,27.5m,,21399,1644,,
Bend,2.9deg,3.9,23848,249,6115,64
Straight,10.7m,,22242,813,,
Straight,6.1m,,23085,448,,
