Section,SECT_05_01
Total Length (m),442.07596458560585

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,17.0m,,302,23128,,
Bend,3.8deg,3.9,316,22392,81,5742
Straight,29.3m,,845,21446,,
Bend,1.6deg,3.9,861,20185,221,5176
Straight,12.6m,,1322,19829,,
Bend,4.1deg,3.9,1384,19282,355,4944
Straight,8.5m,,1731,18409,,
Bend,4.4deg,3.9,1821,18037,467,4625
Straight,15.4m,,2427,17151,,
Bend,1.2deg,3.9,2462,16486,631,4227
Straight,86.6m,,4983,16255,,
Bend,2.1deg,3.9,5103,12762,1309,3272
Straight,19.2m,,5906,12461,,
Bend,2.8deg,3.9,6095,11638,1563,2984
Straight,38.8m,,7667,11276,,
Bend,0.6deg,3.9,7722,9658,1980,2476
Straight,74.1m,,10607,9590,,
Bend,0.1deg,3.9,10622,6753,2724,1732
Straight,30.8m,,11922,6743,,
Bend,0.2deg,3.9,11947,5486,3063,1407
Straight,9.5m,,12358,5474,,
Bend,2.6deg,3.9,12732,5068,3265,1300
Straight,24.6m,,13783,4919,,
Bend,0.6deg,3.9,13876,3923,3558,1006
Straight,21.3m,,14792,3896,,
Bend,2.0deg,3.9,15129,3040,3879,779
Straight,1.9m,,15214,2972,,
Bend,29.5deg,3.9,21253,2888,5449,740
Straight,4.8m,,21464,2067,,
Bend,29.5deg,3.9,29984,1862,7688,477
Straight,11.2m,,30473,1333,,
Bend,5.5deg,3.9,32439,910,8318,233
Straight,7.3m,,32759,855,,
Bend,2.3deg,3.9,33636,580,8625,149
Straight,8.7m,,34014,565,,
Bend,1.2deg,3.9,34488,296,8843,76
Straight,14.0m,,35099,292,,
